iter	Passed	Remaining
414	3217	384449
415	3225	384410
416	3232	384323
417	3239	384270
418	3247	384325
419	3255	384285
420	3263	384278
421	3271	384288
422	3278	384271
423	3286	384274
424	3294	384248
425	3301	384224
426	3309	384215
427	3317	384230
428	3325	384219
429	3333	384249
430	3341	384260
431	3348	384259
432	3356	384272
433	3365	384323
434	3373	384362
435	3381	384379
436	3389	384451
437	3397	384463
438	3405	384439
439	3413	384443
440	3421	384475
441	3429	384487
442	3436	384483
443	3444	384463
444	3452	384488
445	3460	384458
446	3468	384510
447	3476	384541
448	3484	384552
449	3492	384549
450	3500	384561
451	3508	384572
452	3516	384573
453	3524	384605
454	3532	384612
455	3539	384595
456	3547	384594
457	3555	384596
458	3563	384592
459	3570	384576
460	3578	384574
461	3586	384578
462	3594	384568
463	3602	384551
464	3609	384552
465	3617	384523
466	3625	384549
467	3633	384528
468	3640	384499
469	3648	384536
470	3656	384542
471	3664	384533
472	3672	384545
473	3680	384538
474	3688	384533
475	3695	384497
476	3703	384551
477	3711	384532
478	3719	384533
479	3727	384528
480	3734	384503
481	3743	384541
482	3750	384511
483	3758	384502
484	3766	384486
485	3774	384500
486	3781	384488
487	3789	384501
488	3797	384486
489	3805	384533
490	3813	384536
491	3821	384551
492	3829	384551
493	3837	384544
494	3844	384516
495	3852	384490
496	3859	384447
497	3867	384415
498	3874	384385
499	3882	384375
500	3890	384402
501	3898	384392
502	3906	384423
503	3914	384463
504	3922	384454
505	3930	384445
506	3938	384437
507	3945	384432
508	3954	384466
509	3961	384466
510	3969	384441
511	3977	384418
512	3984	384411
513	3992	384374
514	4000	384356
515	4007	384337
516	4015	384316
517	4023	384341
518	4031	384350
519	4039	384327
520	4046	384304
521	4055	384386
522	4062	384365
523	4070	384346
524	4078	384359
525	4086	384391
526	4094	384407
527	4102	384386
528	4110	384421
529	4118	384412
530	4126	384417
531	4133	384379
532	4141	384402
533	4149	384380
534	4157	384361
535	4164	384324
536	4172	384315
537	4179	384283
538	4187	384259
539	4195	384250
540	4202	384241
541	4210	384218
542	4218	384224
543	4225	384188
544	4233	384192
545	4241	384164
546	4249	384171
547	4256	384138
548	4264	384113
549	4272	384097
550	4279	384093
551	4287	384039
552	4294	384001
553	4302	384003
554	4310	383997
555	4317	383964
556	4325	383955
557	4332	383907
558	4340	383865
559	4347	383831
560	4355	383791
561	4362	383785
562	4370	383760
563	4377	383729
564	4385	383687
565	4392	383650
566	4400	383648
567	4407	383615
568	4415	383581
569	4423	383567
570	4430	383538
571	4438	383509
572	4445	383476
573	4453	383444
574	4460	383417
575	4467	383375
576	4475	383346
577	4482	383313
578	4490	383288
579	4498	383260
580	4505	383240
581	4513	383212
582	4520	383171
583	4528	383162
584	4536	383164
585	4543	383121
586	4550	383050
587	4558	383030
588	4565	382994
589	4573	382974
590	4581	383007
591	4588	382991
592	4596	382950
593	4603	382919
594	4611	382913
595	4618	382873
596	4626	382853
597	4633	382812
598	4641	382778
599	4648	382752
600	4656	382716
601	4663	382687
602	4671	382673
603	4678	382632
604	4686	382598
605	4693	382598
606	4702	382620
607	4709	382558
608	4716	382506
609	4723	382481
610	4731	382453
611	4739	382443
612	4746	382422
613	4754	382395
614	4761	382350
615	4768	382324
616	4776	382277
617	4783	382242
618	4791	382225
619	4798	382198
620	4806	382216
621	4814	382185
622	4821	382157
623	4829	382134
624	4837	382161
625	4845	382142
626	4852	382108
627	4859	382079
628	4867	382061
629	4875	382044
630	4883	382049
631	4890	382019
632	4898	381990
633	4905	381999
634	4913	382005
635	4922	382030
636	4929	382021
637	4937	381980
638	4944	381968
639	4952	381928
640	4959	381900
641	4967	381871
642	4974	381851
643	4982	381862
644	4989	381809
645	4997	381799
646	5005	381805
647	5012	381782
648	5020	381778
649	5027	381733
650	5035	381723
651	5043	381736
652	5051	381765
653	5059	381781
654	5067	381772
655	5075	381761
656	5082	381713
657	5089	381680
658	5097	381660
659	5105	381644
660	5112	381593
661	5119	381555
662	5126	381524
663	5134	381474
664	5142	381475
665	5149	381469
666	5157	381434
667	5164	381416
668	5172	381405
669	5179	381381
670	5187	381339
671	5194	381332
672	5202	381331
673	5210	381336
674	5218	381306
675	5225	381286
676	5233	381288
677	5241	381279
678	5248	381260
679	5256	381234
680	5263	381211
681	5271	381204
682	5279	381183
683	5286	381179
684	5294	381152
685	5301	381140
686	5309	381114
687	5316	381077
688	5324	381085
689	5332	381046
690	5339	381019
691	5347	381014
692	5354	380987
693	5362	380987
694	5369	380957
695	5378	380978
696	5385	380962
697	5393	380943
698	5400	380925
699	5408	380896
700	5415	380865
701	5423	380893
702	5431	380863
703	5439	380863
704	5446	380861
705	5454	380857
706	5462	380818
707	5469	380783
708	5477	380776
709	5484	380772
710	5492	380768
711	5500	380767
712	5508	380753
713	5515	380741
714	5523	380718
715	5530	380691
716	5538	380678
717	5545	380640
718	5552	380599
719	5560	380575
720	5568	380571
721	5576	380618
722	5584	380599
723	5591	380558
724	5598	380531
725	5606	380512
726	5614	380511
727	5621	380487
728	5629	380453
729	5636	380439
730	5644	380446
731	5652	380435
732	5659	380415
733	5667	380371
734	5674	380331
735	5681	380306
736	5689	380292
737	5696	380270
738	5704	380260
739	5711	380226
740	5719	380193
741	5726	380167
742	5733	380126
743	5741	380081
744	5748	380055
745	5755	380032
746	5763	380005
747	5770	379985
748	5777	379935
749	5785	379910
750	5792	379878
751	5800	379849
752	5807	379809
753	5815	379795
754	5822	379764
755	5829	379724
756	5836	379689
757	5844	379663
758	5852	379670
759	5859	379645
760	5867	379618
761	5874	379605
762	5881	379567
763	5889	379553
764	5896	379524
765	5904	379498
766	5911	379474
767	5919	379450
768	5926	379441
769	5934	379415
770	5942	379408
771	5950	379436
772	5958	379431
773	5965	379406
774	5973	379394
775	5980	379342
776	5987	379314
777	5994	379279
778	6002	379244
779	6010	379250
780	6017	379213
781	6025	379218
782	6032	379197
783	6040	379177
784	6047	379137
785	6054	379097
786	6062	379082
787	6069	379074
788	6077	379063
789	6084	379023
790	6092	379037
791	6100	379032
792	6108	379028
793	6116	379036
794	6123	379016
795	6131	379029
796	6139	379012
797	6146	378994
798	6154	378976
799	6161	378951
800	6169	378936
801	6176	378914
802	6184	378918
803	6192	378899
804	6200	378918
805	6208	378912
806	6215	378883
807	6223	378870
808	6230	378846
809	6238	378847
810	6246	378859
811	6254	378862
812	6261	378848
813	6269	378837
814	6277	378844
815	6285	378850
816	6293	378843
817	6300	378836
818	6308	378829
819	6316	378833
820	6324	378827
821	6332	378850
822	6339	378832
823	6347	378834
824	6356	378859
825	6363	378850
826	6371	378864
827	6379	378865
828	6387	378841
829	6394	378811
830	6402	378803
831	6409	378802
832	6418	378824
833	6426	378839
834	6434	378875
835	6442	378879
836	6450	378875
837	6458	378873
838	6466	378888
839	6474	378896
840	6481	378877
841	6490	378906
842	6497	378861
843	6504	378828
844	6511	378782
845	6518	378754
846	6526	378732
847	6533	378711
848	6541	378688
849	6548	378654
850	6556	378639
851	6563	378613
852	6570	378590
853	6578	378580
854	6586	378560
855	6593	378548
856	6601	378541
857	6608	378521
858	6616	378524
859	6624	378510
860	6631	378495
861	6639	378486
862	6647	378488
863	6655	378484
864	6663	378505
865	6671	378500
866	6678	378479
867	6686	378474
868	6694	378473
869	6702	378484
870	6710	378486
871	6717	378469
872	6725	378479
873	6733	378468
874	6740	378445
875	6748	378443
876	6756	378429
877	6764	378439
878	6771	378423
